Rule_Case_Type__c,Condition_Number__c,Field_API_Name__c,Operator__c,Value__c,Source_Org,Source_Record_Id,Source_Rule_Id,Target_Org,Target_Record_Id,Target_Rule_Id,Load_Method,Load_Job_Id,Load_Date,Load_Status
B2B / Implementation,1,Touch_Level__c,EQUALS,High Touch,IRMDEV,aKYgP00000003sYWAQ,aKagP00000003NrSAI,IRMNewDev,aKTWJ000008KxLt4AK,aKVWJ00000FYEMT4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
RFP / Bid Management,1,Bid_RFP__c,IS_TRUE,,IRMDEV,aKYgP00000003sQWAQ,aKagP00000003NlSAI,IRMNewDev,aKTWJ000008KxLu4AK,aKVWJ00000FYEMU4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
Remarketing,1,Renewal_Upsell__c,IS_TRUE,,IRMDEV,aKYgP00000003sWWAQ,aKagP00000003NqSAI,IRMNewDev,aKTWJ000008KxLv4AK,aKVWJ00000FYEMV4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
Remarketing,2,Touch_Level__c,IN,High Touch;Medium Touch,IRMDEV,aKYgP00000003sXWAQ,aKagP00000003NqSAI,IRMNewDev,aKTWJ000008KxLw4AK,aKVWJ00000FYEMV4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
Revenue Management,1,Touch_Level__c,IN,High Touch;Medium Touch,IRMDEV,aKYgP00000003sVWAQ,aKagP00000003NpSAI,IRMNewDev,aKTWJ000008KxLx4AK,aKVWJ00000FYEMW4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
GCCS,1,Legal_Review_Required__c,IS_TRUE,,IRMDEV,aKYgP00000003sOWAQ,aKagP00000003NjSAI,IRMNewDev,aKTWJ000008KxLy4AK,aKVWJ00000FYEMX4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
InfoSec / Security Questionnaire,1,InfoSec_Review_Required__c,IS_TRUE,,IRMDEV,aKYgP00000003sPWAQ,aKagP00000003NkSAI,IRMNewDev,aKTWJ000008KxLz4AK,aKVWJ00000FYEMY4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
Deal Desk,1,Touch_Level__c,IN,High Touch;Medium Touch,IRMDEV,aKYgP00000003sMWAQ,aKagP00000003NiSAI,IRMNewDev,aKTWJ000008KxM04AK,aKVWJ00000FYEMZ4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
Deal Desk,2,Pricing_Support_Required__c,IS_TRUE,,IRMDEV,aKYgP00000003sNWAQ,aKagP00000003NiSAI,IRMNewDev,aKTWJ000008KxM14AK,aKVWJ00000FYEMZ4A5,sf data import bulk,750WJ00000VOYDHYA5,2026-08-23,Success
