Case_Type__c,Record_Type_Dev_Name__c,Queue_Developer_Name__c,Stage__c,Priority__c,Is_Active__c
B2B / Implementation,B2B_Implementation,Post_Sales_Support_Queue,Booked,10,true
RFP / Bid Management,Deal_Support,Bid_Management_Queue,Qualification,50,true
Remarketing,Deal_Support,Remarketing_Queue,Booking Verification,30,true
Revenue Management,Deal_Support,Revenue_Management_Queue,Booking Verification,20,true
GCCS,Deal_Support,Legal_GCCS_Queue,Qualification,30,true
InfoSec / Security Questionnaire,Deal_Support,InfoSec_Queue,Qualification,40,true
Deal Desk,Deal_Support,Deal_Desk_Queue,Qualification,20,true
