Rule__c,Condition_Number__c,Field_API_Name__c,Operator__c,Value__c
aKVWJ00000FYEMT4A5,1,Touch_Level__c,EQUALS,High Touch
aKVWJ00000FYEMU4A5,1,Bid_RFP__c,IS_TRUE,
aKVWJ00000FYEMV4A5,1,Renewal_Upsell__c,IS_TRUE,
aKVWJ00000FYEMV4A5,2,Touch_Level__c,IN,High Touch;Medium Touch
aKVWJ00000FYEMW4A5,1,Touch_Level__c,IN,High Touch;Medium Touch
aKVWJ00000FYEMX4A5,1,Legal_Review_Required__c,IS_TRUE,
aKVWJ00000FYEMY4A5,1,InfoSec_Review_Required__c,IS_TRUE,
aKVWJ00000FYEMZ4A5,1,Touch_Level__c,IN,High Touch;Medium Touch
aKVWJ00000FYEMZ4A5,2,Pricing_Support_Required__c,IS_TRUE,
